File Name,Sentence,Mapped CWE-ID,CWE Description,Positive Probability
33834-g10.docx.txt,the third digit is incremented when editorial only changes have been incorporated in the document.,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",0.9976353645324707
33834-g10.docx.txt,".This key is specified as a permanent key in 3and as a ""Long-term secret key shared between the USIM and the AuC"" in 3 .",798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data.",0.997646152973175
33834-g10.docx.txt,"There are currently no standardised processes that change the K for a specific subscription, after issue of a USIM.",79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.9976250529289246
33834-g10.docx.txt,OP and OPc are defined in 3for use with MILENAGE based authentication and are related to each other.,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,0.9976805448532104
33834-g10.docx.txt,OP is defined as 128-bit value chosen by the home network operator which is stored in the AuC/HSS.,94,"The product constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment.",0.997654139995575
33834-g10.docx.txt,"Typically, OP and / or TOP are generated by the home network operator and communicated to a UICC manufacturer by non-electronic means.",924,"The product establishes a communication channel with an endpoint and receives a message from that endpoint, but it does not sufficiently ensure that the message was not modified during transmission.",0.9976769089698792
33834-g10.docx.txt,TOP and TOPc are defined in 3for use with TUAK based authentication and are related to each other.,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,0.9976617097854614
33834-g10.docx.txt,TOP is defined as 256-bit value chosen by the home network operator which is stored in the AuC/HSS.,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.9976205229759216
33834-g10.docx.txt,TOPc is defined as 128-bit value that is derived from TOP and K which is stored in the USIM.,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.9971151351928711
33834-g10.docx.txt,"As the K is expected to change for each USIM, this means that TOPc is likely to be different for each USIM.",79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.9961363673210144
33834-g10.docx.txt,There is no6 USIM related key stores and key transport processes6.2.1 Personalisation centreGSMA SGP.02and GSMA SGP.22define specific provisioning elements that contain the secret key information.,312,The product stores sensitive information in cleartext within a resource that might be accessible to another control sphere.,0.9976309537887573
33834-g10.docx.txt,"The UICC stores and uses the OTA keys KIC, KID and DEK as specified by the home network operator.",79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.9976187348365784
33834-g10.docx.txt,The LTKUP procedures being re-run before the previous LTKUP procedure completes.,367,"The product checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check. This can cause the product to perform invalid actions when the resource is in an unexpected state.",0.9975583553314209
33834-g10.docx.txt,IntroductionProfile is defined as combination of data and applications to be provisioned on an eUICC for the purpose of providing services.,1333,"The product uses a regular expression with an inefficient, possibly exponential worst-case computational complexity that consumes excessive CPU cycles.",0.9976378679275513
33834-g10.docx.txt,"The solution payment applet, when the whole Profile is replaced by a new one.",295,"The product does not validate, or incorrectly validates, a certificate.",0.9976346492767334
33834-g10.docx.txt,This solution has no impact on eSIMs and eSIM provisioning services.,120,"The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",0.9976571798324585
33834-g10.docx.txt,GSMA SGP.22is defined for consumer use and so requires user confirmation.,346,The product does not properly verify that the source of data or communication is valid.,0.9976508021354675
33834-g10.docx.txt,This solution mitigates Key issue 2 by updating the key to use on each effected USIM individually.,639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,0.9976432919502258
33834-g10.docx.txt,The solution is proposed to use this secure channel to update long term keys.,639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,0.9976407289505005
33834-g10.docx.txt,The UE sends a Profile update result containing the identity of the target profile to the Provisioning server.,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.9976359605789185
33834-g10.docx.txt,Key IssuesThis solution meets key issue 2 by individual updates to each subscriber.,639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,0.9976638555526733
33834-g10.docx.txt,"SCP11a could be used as the key exchange protocol to establish keys to protect the long term keys, with necessary enhancement if needed.",798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data.",0.997621476650238
33834-g10.docx.txt,The solution could be used for allThis solution requires a global/regional PKI system.,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.9976208806037903
33834-g10.docx.txt,The location of the root of trust is not addressed in the present document.,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.9976447224617004
33834-g10.docx.txt,Exposing the HSS to update One might consider running the key exchange protocol with a proxy for the HSS rather than with the HSS directly.,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.9976125955581665
33834-g10.docx.txt,"The UICC.To maintain operator control, and mitigate possible DoS risks, the recommended option is to have the HSS trigger the key exchange protocol.",306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,0.9976300001144409
