File Name,Sentence,Mapped CWE-ID,CWE Description,Positive Probability
ts_133128v160500p.pdf.txt,z the third digit is incremented when editorial only changes have been incorporated in the document.,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",0.9915300607681274
ts_133128v160500p.pdf.txt,"Stage 2"".3: ""NG-RAN; PDU Session User Plane Protocol"".3: ""5G System (5GS) Location Services (LCS); Stage 2"".",306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,0.9976646900177002
ts_133128v160500p.pdf.txt,"Stage 3"".(-01)1133: ""5G System; Usage of the Unified Data Repository services for Subscription Data; Stage 3"".",552,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",0.9976086616516113
ts_133128v160500p.pdf.txt,"For the purposes of the present document, the terms and definitions given in 905and the following apply.",611,"The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.",0.9976345300674438
ts_133128v160500p.pdf.txt,"For the purposes of the present document, the abbreviations given in 905and the following apply.",22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",0.9976365566253662
ts_133128v160500p.pdf.txt,"LI_X1 Used to configure and audit Directly-provisioned POIs, TFs and MDFs.",434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.9976385831832886
ts_133128v160500p.pdf.txt,See clause 5.2.3 LI_X2 Used to pass xIRI from IRI-POIs to the MDF2.,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",0.9976315498352051
ts_133128v160500p.pdf.txt,See clause 5.3.2 LI_X3 Used to pass xCC from CC-POIs to the MDF3.,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",0.9976319074630737
ts_133128v160500p.pdf.txt,See clause 5.3.3 LI_T2 Used to pass triggering information from the IRI-TF to a Triggered IRI-POI.,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit.",0.997654914855957
ts_133128v160500p.pdf.txt,See clause 5.2.4 LI_T3 Used to pass triggering information from a CC-TF to a Triggered CC-POI.,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit.",0.9973682761192322
ts_133128v160500p.pdf.txt,See clause 5.2.4 LI_XQR Used to pass queries from IQF to ICF and responses from ICF to IQF.,204,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere.,0.9966656565666199
ts_133128v160500p.pdf.txt,See clause 5.8 LI_XER Used to pass identifier association event records from IEFs to ICF.,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",0.9976052045822144
